OBJECTID,ZIP,ZIPCODE,COUNTY,ZIP_TYPE,Shape_Length,Shape_Area
63,98059,98059,033,Standard,145598.079000378,462241543.525712
64,98164,98164,033,Standard,1115.5232034814,77740.1683586222
65,98166,98166,033,Standard,90590.999275219,158200261.301778
66,98065,98065,033,Standard,345717.472070119,2404508901.03057
67,98068,98068,037,PO Box,220477.116261071,1769965779.91563
68,98103,98103,033,Standard,71421.2054919993,144008321.206296
69,98104,98104,033,Standard,35668.308399168,21087302.2966693
70,98105,98105,033,Standard,77620.0864269145,97035432.2507156
71,98106,98106,033,Standard,79836.8022450661,148201377.779924
72,98107,98107,033,Standard,52798.5712120007,65451064.1073165
73,98108,98108,033,Standard,84808.3545907412,215057961.191442
74,98109,98109,033,Standard,40749.0341774633,66355767.7691773
75,98118,98118,033,Standard,92007.7079157793,170718581.714205
76,98119,98119,033,Standard,58777.6178438015,76072244.6119857
77,98121,98121,033,Standard,25270.263640349,12252192.9647896
78,98122,98122,033,Standard,49484.4009151763,64548183.1793201
79,98125,98125,033,Standard,67173.3048503822,149853830.869509
80,98126,98126,033,Standard,82378.2946570608,96544637.3914674
81,98133,98133,033,Standard,95065.0362996784,195422051.517806
82,98134,98134,033,Standard,64395.1082396945,112353592.388681
83,98144,98144,033,Standard,52029.0070534831,92419412.768898
84,98146,98146,033,Standard,64035.4479621303,126342365.112012
85,98148,98148,033,Standard,69372.5757882124,79595151.4527491
86,98154,98154,033,Standard,1105.87403025575,76423.2300881511
87,98155,98155,033,Standard,72126.5554716261,211816629.278613
88,98158,98158,033,Standard,34571.1135307892,58144733.2706319
89,98168,98168,033,Standard,105379.398721637,258885192.564974
90,98117,98117,033,Standard,55360.2661436596,107311958.396269
91,98177,98177,033,Standard,95211.4633365855,159672939.778147
92,98178,98178,033,Standard,66906.6769438059,135350493.967882
93,98205,98205,061,Standard,203110.976557289,632952840.929091
94,98206,98260,061,Standard,22790.6534398866,19121911.0979738
95,98208,98208,061,Standard,140817.66610917,361491036.029275
96,98198,98198,033,Standard,124157.374491727,210844627.114688
97,98310,98310,035,Standard,53742.9544058882,151938878.423444
98,98311,98311,035,Standard,80184.5342486696,305252168.756766
99,98312,98312,035,Standard,309277.301391635,1815260051.09847
100,98199,98199,033,Standard,56826.4296952334,114534562.13059
101,98201,98201,061,Standard,80933.1744771278,193032742.872788
102,98203,98203,061,Standard,94739.6544754597,317634421.607555
103,98204,98204,061,Standard,83247.2016593664,250191196.918369
104,98296,98296,061,Standard,263970.855672082,1048106698.3611
105,98303,98303,053,Standard,100332.430277253,224054989.5658
106,98304,98304,053,Standard,148164.538100714,322185529.255085
107,98223,98223,061,Standard,573249.36932447,9188799827.53695
108,98224,98224,033,PO Box,187335.039772593,1720744792.49112
109,98241,98241,061,Standard,489725.415549831,10702285410.1068
110,98335,98335,053,Standard,183845.813152139,624049842.061831
111,98337,98337,035,Standard,23679.1687282685,26585842.7289696
112,98338,98338,053,Standard,224377.437630031,1600401562.80929
113,98340,98340,035,Standard,92459.7274660116,200154613.762434
114,98342,98342,035,Standard,52169.8834697736,94643089.647864
115,98345,98345,035,PO Box,25005.6026396927,12546439.2347661
116,98346,98346,035,Standard,208885.717737245,690648859.113622
117,98251,98251,061,Standard,170540.045841864,1365169847.31694
118,98252,98252,061,Standard,655587.480414569,11458033795.596
119,98258,98258,061,Standard,188174.037646858,746870626.739434
120,98270,98270,061,Standard,129683.810503231,401548254.191824
121,98271,98271,061,Standard,279768.294508138,1414291571.84953
122,98272,98272,061,Standard,281451.343123428,2513539670.96403
123,98275,98275,061,Standard,81557.5453631836,184620798.585354
124,98282,98282,061,Standard,23945.8895118138,21936739.1889824
125,98288,98288,033,PO Box,484750.182616025,8748979849.20718
126,98292,98292,061,Standard,269935.392546946,2032125803.42066
127,98294,98294,061,Standard,621328.89328959,10936936885.6779
128,98188,98188,033,Standard,94574.3103316364,218702267.390028
129,98195,98195,033,Standard,23454.9008044855,21701391.2746659
130,98290,98290,061,Standard,347710.853609905,2852193029.44153
131,98328,98328,053,Standard,304188.897703458,2717657378.75255
132,98329,98329,053,Standard,157239.465509409,720554062.162433
133,98330,98330,053,Standard,45773.0855714593,53285055.2628591
134,98332,98332,053,Standard,133917.847569236,584193953.63792
135,98333,98333,053,Standard,77598.048520486,143543103.462987
136,98349,98349,053,Standard,191076.148707963,593732273.123506
137,98351,98351,053,Standard,108589.44020746,255301603.540799
138,98354,98354,033,Standard,13089.5202241193,8506824.49260787
139,98354,98354,053,Standard,41500.7194148439,57586161.1375738
140,98359,98359,035,Standard,96069.3162223938,382122913.43151
141,98314,98314,035,Unique,47284.4816262879,17243414.8815136
142,98315,98315,035,Standard,89492.0180206183,305686874.915044
143,98321,98321,053,Standard,203533.627868084,1143293737.21058
144,98323,98323,053,Standard,161148.783648178,826550521.678505
145,98327,98327,053,Standard,95271.3944033658,192972502.01469
146,98383,98383,035,Standard,143446.441624924,466266247.526873
147,98407,98407,053,Standard,71745.4484657602,155761059.396357
148,98408,98408,053,Standard,40949.9216956624,95930078.0846862
149,98409,98409,053,Standard,74004.1799257125,203658771.395322
150,98416,98416,053,Unique,9681.51226136949,4084771.55624899
151,98418,98418,053,Standard,27782.0268112828,46885764.1226016
152,98385,98385,053,Standard,13894.8279792335,11206789.0517275
153,98387,98387,053,Standard,222586.298015202,600727096.47732
154,98388,98388,053,Standard,150472.326626288,270365040.708388
155,98390,98390,053,Standard,102124.291492003,259404678.153172
156,98391,98391,053,Standard,195916.193070567,1080336416.19329
157,98392,98392,035,Standard,40161.3016603294,50071278.8013028
158,98438,98438,053,Standard,74075.4039876706,179111621.16739
159,98439,98439,053,Standard,31208.6746879129,32367051.3095343
160,98443,98443,053,Standard,51842.2282453735,138725726.1697
161,98444,98444,053,Standard,84939.7842849281,193899333.485341
162,98445,98445,053,Standard,95666.1493196208,302059701.039174
163,98446,98446,053,Standard,92261.2847446496,303052697.022457
164,98447,98447,053,Unique,9413.06547618663,3176084.47231763
165,98465,98465,053,Standard,35511.7127978172,52783838.1541694
166,98394,98394,053,Standard,79405.8937056336,133404688.178541
167,98360,98360,053,Standard,253905.892081347,1460825810.74423
168,98366,98366,035,Standard,183219.062739323,660949212.963132
169,98499,98499,053,Standard,82258.8314442442,258668276.067722
170,98367,98367,035,Standard,231810.021250127,2171137806.04173
171,98826,98826,,Standard,845304.386893477,26180293048.4707
172,98922,98922,037,Standard,871202.840237978,17220076338.9379
173,98925,98925,037,Standard,513881.75561834,5997914904.4595
174,98926,98926,037,Standard,947568.861297733,32490465847.5645
175,98934,98934,037,PO Box,21908.6905747336,12289665.0654034
176,98940,98940,037,PO Box,465055.06553898,5451150404.5628
177,98941,98941,037,PO Box,128017.069816111,357024286.209639
178,98943,98943,037,PO Box,14265.7191524655,10064275.3951149
179,98370,98370,035,Standard,369890.28256958,1650709694.52506
180,98950,98950,037,PO Box,209701.375729641,915724778.436799
181,98371,98371,053,Standard,94169.3117630309,362704639.243807
182,98372,98372,053,Standard,108969.639015604,373917060.363163
183,98373,98373,053,Standard,64284.7284115207,257979684.614837
184,98374,98374,053,Standard,108095.145660153,467542203.688638
185,98375,98375,053,Standard,65271.0364044036,258436981.076223
186,98380,98380,035,Standard,258881.63624543,1277849520.03771
187,98421,98421,053,Standard,121126.149870359,180865484.646134
188,98422,98422,033,Standard,9173.55804878125,1574725.08389387
189,98422,98422,053,Standard,92797.6231143279,185217250.894784
190,98424,98424,053,Standard,70301.3632964295,151535020.460355
191,98430,98430,053,Standard,16682.2916373454,13323856.205509
192,98433,98433,053,Standard,364517.857849181,2980326383.99468
193,98466,98466,053,Standard,61175.8867076834,162812597.529725
194,98467,98467,053,Standard,56520.8717446945,126466429.452082
195,98396,98396,053,Standard,735525.483097261,12041118450.9687
196,98397,98397,053,Standard,428882.206996894,8546367830.66873
197,98498,98498,053,Standard,94191.6298205216,271504227.425359
198,98580,98580,053,Standard,234421.90642829,1813778218.6739
199,98946,98946,037,Standard,148179.572806545,836663894.394367
200,98402,98402,053,Standard,30734.1758557716,26122235.4721448
201,98403,98403,053,Standard,23495.0333527643,28909375.6830645
202,98404,98404,053,Standard,61572.1532475272,216064462.51601
203,98405,98405,053,Standard,50261.100128424,119311831.310461
204,98406,98406,053,Standard,74118.9712239438,108837257.148837
